harness	model	task	run	sec	success
codex	deep-tiel	alias	1	49.5	1
codex	deep-tiel	alias	2	45.5	1
codex	deep-tiel	alias	3	56.3	1
codex	deep-tiel	auth	1	51.1	1
codex	deep-tiel	auth	2	59.2	1
codex	deep-tiel	auth	3	53.4	1
codex	deep-tiel	median	1	50.4	1
codex	deep-tiel	median	2	61.4	1
codex	deep-tiel	median	3	63.5	1
codex	deep-tiel	overlay	1	39.9	1
codex	deep-tiel	overlay	2	111.1	1
codex	deep-tiel	overlay	3	50.6	1
codex	deep-tiel	rollback	1	54.5	1
codex	deep-tiel	rollback	2	59.9	1
codex	deep-tiel	rollback	3	65.9	1
codex	deep-tiel	cache	1	60.6	1
codex	deep-tiel	cache	2	62.2	1
codex	deep-tiel	cache	3	501.5	1
codex	deep-tiel	dedupe	1	58.9	1
codex	deep-tiel	dedupe	2	90.0	1
codex	deep-tiel	dedupe	3	70.9	1
codex	deep-tiel	pipeline	1	86.4	1
codex	deep-tiel	pipeline	2	209.1	1
codex	deep-tiel	pipeline	3	95.4	1
