harness	model	task	run	sec	success
dsh	deep-tiel	alias	1	38.3	1
dsh	deep-tiel	alias	2	37.1	1
dsh	deep-tiel	alias	3	38.5	1
dsh	deep-tiel	auth	1	36.1	1
dsh	deep-tiel	auth	2	60.1	1
dsh	deep-tiel	auth	3	38.1	1
dsh	deep-tiel	median	1	45.3	1
dsh	deep-tiel	median	2	45.2	1
dsh	deep-tiel	median	3	38.7	1
dsh	deep-tiel	overlay	1	47.9	1
dsh	deep-tiel	overlay	2	48.2	1
dsh	deep-tiel	overlay	3	54.0	1
dsh	deep-tiel	rollback	1	61.9	1
dsh	deep-tiel	rollback	2	52.5	1
dsh	deep-tiel	rollback	3	96.0	1
dsh	deep-tiel	cache	1	80.1	1
dsh	deep-tiel	cache	2	50.5	1
dsh	deep-tiel	cache	3	70.8	1
dsh	deep-tiel	dedupe	1	58.1	1
dsh	deep-tiel	dedupe	2	64.7	1
dsh	deep-tiel	dedupe	3	51.5	1
dsh	deep-tiel	pipeline	1	115.2	1
dsh	deep-tiel	pipeline	2	83.0	1
dsh	deep-tiel	pipeline	3	174.6	1
