harness	model	task	run	sec	success
dsh	fast	alias	1	17.4	1
dsh	fast	alias	2	15.7	1
dsh	fast	alias	3	18.0	1
dsh	fast	auth	1	15.6	1
dsh	fast	auth	2	14.4	1
dsh	fast	auth	3	15.7	1
dsh	fast	median	1	20.4	1
dsh	fast	median	2	20.8	1
dsh	fast	median	3	26.6	1
dsh	fast	overlay	1	23.1	1
dsh	fast	overlay	2	20.7	1
dsh	fast	overlay	3	21.8	1
dsh	fast	rollback	1	22.9	1
dsh	fast	rollback	2	37.5	1
dsh	fast	rollback	3	23.5	1
dsh	fast	cache	1	33.5	1
dsh	fast	cache	2	34.7	1
dsh	fast	cache	3	26.0	1
dsh	fast	dedupe	1	24.0	1
dsh	fast	dedupe	2	19.2	1
dsh	fast	dedupe	3	43.6	1
dsh	fast	pipeline	1	38.3	0
dsh	fast	pipeline	2	27.3	1
dsh	fast	pipeline	3	32.9	1
