harness	model	task	run	sec	success
hermes	deep-tiel	alias	1	169.3	1
hermes	deep-tiel	alias	2	25.2	1
hermes	deep-tiel	alias	3	15.9	1
hermes	deep-tiel	auth	1	231.2	1
hermes	deep-tiel	auth	2	19.8	1
hermes	deep-tiel	auth	3	39.7	1
hermes	deep-tiel	median	1	38.8	1
hermes	deep-tiel	median	2	45.0	1
hermes	deep-tiel	median	3	24.8	1
hermes	deep-tiel	overlay	1	34.6	1
hermes	deep-tiel	overlay	2	30.5	1
hermes	deep-tiel	overlay	3	34.9	1
hermes	deep-tiel	rollback	1	30.1	1
hermes	deep-tiel	rollback	2	40.1	1
hermes	deep-tiel	rollback	3	31.4	1
hermes	deep-tiel	cache	1	35.8	1
hermes	deep-tiel	cache	2	35.3	1
hermes	deep-tiel	cache	3	28.6	1
hermes	deep-tiel	dedupe	1	37.7	1
hermes	deep-tiel	dedupe	2	28.0	1
hermes	deep-tiel	dedupe	3	37.0	1
hermes	deep-tiel	pipeline	1	221.8	1
hermes	deep-tiel	pipeline	2	57.3	1
hermes	deep-tiel	pipeline	3	65.0	1
