harness	model	task	run	sec	success
hermes	fast	alias	1	40.1	1
hermes	fast	alias	2	19.6	1
hermes	fast	alias	3	22.0	1
hermes	fast	auth	1	18.2	1
hermes	fast	auth	2	22.1	1
hermes	fast	auth	3	17.5	1
hermes	fast	median	1	21.0	1
hermes	fast	median	2	45.8	1
hermes	fast	median	3	21.0	1
hermes	fast	overlay	1	43.0	1
hermes	fast	overlay	2	39.4	1
hermes	fast	overlay	3	37.5	1
hermes	fast	rollback	1	46.4	1
hermes	fast	rollback	2	38.2	1
hermes	fast	rollback	3	27.1	1
hermes	fast	cache	1	143.9	1
hermes	fast	cache	2	39.1	1
hermes	fast	cache	3	42.0	1
hermes	fast	dedupe	1	21.3	1
hermes	fast	dedupe	2	21.2	1
hermes	fast	dedupe	3	18.7	1
hermes	fast	pipeline	1	55.7	1
hermes	fast	pipeline	2	38.7	1
hermes	fast	pipeline	3	74.0	1
