harness	model	task	run	sec	success
openclaw	deep-tiel	alias	1	43.8	1
openclaw	deep-tiel	alias	2	33.4	1
openclaw	deep-tiel	alias	3	76.2	1
openclaw	deep-tiel	auth	1	71.0	1
openclaw	deep-tiel	auth	2	38.8	1
openclaw	deep-tiel	auth	3	38.0	1
openclaw	deep-tiel	median	1	32.2	1
openclaw	deep-tiel	median	2	65.1	1
openclaw	deep-tiel	median	3	88.0	1
openclaw	deep-tiel	overlay	1	131.8	1
openclaw	deep-tiel	overlay	2	223.9	1
openclaw	deep-tiel	overlay	3	79.1	1
openclaw	deep-tiel	rollback	1	91.8	1
openclaw	deep-tiel	rollback	2	75.3	1
openclaw	deep-tiel	rollback	3	85.8	1
openclaw	deep-tiel	cache	1	70.3	1
openclaw	deep-tiel	cache	2	111.7	1
openclaw	deep-tiel	cache	3	121.9	1
openclaw	deep-tiel	dedupe	1	79.1	1
openclaw	deep-tiel	dedupe	2	244.5	1
openclaw	deep-tiel	dedupe	3	75.2	1
openclaw	deep-tiel	pipeline	1	93.2	1
openclaw	deep-tiel	pipeline	2	258.4	1
openclaw	deep-tiel	pipeline	3	383.5	1
