harness	model	task	run	sec	success
openclaw	fast	alias	1	14.1	1
openclaw	fast	alias	2	16.0	1
openclaw	fast	alias	3	21.5	1
openclaw	fast	auth	1	15.6	1
openclaw	fast	auth	2	16.4	1
openclaw	fast	auth	3	13.0	1
openclaw	fast	median	1	15.9	1
openclaw	fast	median	2	17.4	1
openclaw	fast	median	3	15.2	1
openclaw	fast	overlay	1	15.9	1
openclaw	fast	overlay	2	14.8	1
openclaw	fast	overlay	3	15.6	1
openclaw	fast	rollback	1	17.5	1
openclaw	fast	rollback	2	29.4	1
openclaw	fast	rollback	3	21.3	1
openclaw	fast	cache	1	30.6	1
openclaw	fast	cache	2	24.7	1
openclaw	fast	cache	3	36.2	1
openclaw	fast	dedupe	1	40.4	1
openclaw	fast	dedupe	2	56.3	1
openclaw	fast	dedupe	3	86.8	1
openclaw	fast	pipeline	1	22.3	1
openclaw	fast	pipeline	2	27.6	1
openclaw	fast	pipeline	3	18.9	1
