harness	model	task	run	sec	success
opencode	deep-tiel	alias	1	317.5	1
opencode	deep-tiel	alias	2	323.4	1
opencode	deep-tiel	alias	3	319.4	1
opencode	deep-tiel	auth	1	325.6	1
opencode	deep-tiel	auth	2	341.8	1
opencode	deep-tiel	auth	3	291.6	1
opencode	deep-tiel	median	1	263.4	1
opencode	deep-tiel	median	2	265.8	1
opencode	deep-tiel	median	3	337.0	1
opencode	deep-tiel	overlay	1	364.9	1
opencode	deep-tiel	overlay	2	269.9	1
opencode	deep-tiel	overlay	3	303.5	1
opencode	deep-tiel	rollback	1	368.4	1
opencode	deep-tiel	rollback	2	349.6	1
opencode	deep-tiel	rollback	3	437.7	1
opencode	deep-tiel	cache	1	319.2	1
opencode	deep-tiel	cache	2	306.6	1
opencode	deep-tiel	cache	3	372.3	1
opencode	deep-tiel	dedupe	1	400.4	1
opencode	deep-tiel	dedupe	2	363.7	1
opencode	deep-tiel	dedupe	3	377.4	1
opencode	deep-tiel	pipeline	1	500.3	0
opencode	deep-tiel	pipeline	2	443.6	1
opencode	deep-tiel	pipeline	3	450.6	1
