harness	model	task	run	sec	success
opencode	fast	alias	1	23.9	1
opencode	fast	alias	2	14.9	1
opencode	fast	alias	3	16.7	1
opencode	fast	auth	1	17.5	1
opencode	fast	auth	2	14.2	1
opencode	fast	auth	3	16.4	1
opencode	fast	median	1	19.1	1
opencode	fast	median	2	18.1	1
opencode	fast	median	3	17.6	1
opencode	fast	overlay	1	47.0	1
opencode	fast	overlay	2	17.4	1
opencode	fast	overlay	3	18.3	1
opencode	fast	rollback	1	17.0	1
opencode	fast	rollback	2	26.5	1
opencode	fast	rollback	3	17.3	0
opencode	fast	cache	1	30.2	1
opencode	fast	cache	2	26.1	0
opencode	fast	cache	3	27.4	1
opencode	fast	dedupe	1	23.3	1
opencode	fast	dedupe	2	26.4	1
opencode	fast	dedupe	3	22.4	1
opencode	fast	pipeline	1	24.9	1
opencode	fast	pipeline	2	25.4	1
opencode	fast	pipeline	3	25.2	1
