harness	model	task	run	sec	success
pi	deep-tiel	alias	1	25.2	1
pi	deep-tiel	alias	2	24.8	1
pi	deep-tiel	alias	3	17.9	1
pi	deep-tiel	auth	1	30.8	1
pi	deep-tiel	auth	2	32.7	1
pi	deep-tiel	auth	3	28.0	1
pi	deep-tiel	median	1	48.7	1
pi	deep-tiel	median	2	31.2	1
pi	deep-tiel	median	3	28.2	1
pi	deep-tiel	overlay	1	24.5	1
pi	deep-tiel	overlay	2	23.7	1
pi	deep-tiel	overlay	3	23.9	1
pi	deep-tiel	rollback	1	49.2	1
pi	deep-tiel	rollback	2	22.1	1
pi	deep-tiel	rollback	3	22.0	1
pi	deep-tiel	cache	1	71.2	1
pi	deep-tiel	cache	2	45.8	1
pi	deep-tiel	cache	3	28.2	1
pi	deep-tiel	dedupe	1	31.4	1
pi	deep-tiel	dedupe	2	24.3	1
pi	deep-tiel	dedupe	3	27.5	1
pi	deep-tiel	pipeline	1	9163.9	1
pi	deep-tiel	pipeline	2	38.7	1
pi	deep-tiel	pipeline	3	84.5	1
