harness	model	task	run	sec	success
pi	fast	alias	1	32.4	1
pi	fast	alias	2	32.2	1
pi	fast	alias	3	31.0	1
pi	fast	auth	1	28.7	1
pi	fast	auth	2	28.5	1
pi	fast	auth	3	30.7	1
pi	fast	median	1	33.2	1
pi	fast	median	2	31.3	1
pi	fast	median	3	32.0	1
pi	fast	overlay	1	32.8	1
pi	fast	overlay	2	34.9	1
pi	fast	overlay	3	34.5	1
pi	fast	rollback	1	57.1	1
pi	fast	rollback	2	30.9	0
pi	fast	rollback	3	31.3	1
pi	fast	cache	1	32.0	1
pi	fast	cache	2	45.2	1
pi	fast	cache	3	40.6	1
pi	fast	dedupe	1	35.9	0
pi	fast	dedupe	2	52.7	1
pi	fast	dedupe	3	78.5	0
pi	fast	pipeline	1	36.0	1
pi	fast	pipeline	2	40.5	1
pi	fast	pipeline	3	38.7	1
