harness	model	task	run	sec	success
prime	deep-tiel	alias	1	25.0	1
prime	deep-tiel	alias	2	30.0	1
prime	deep-tiel	alias	3	26.3	1
prime	deep-tiel	auth	1	32.5	1
prime	deep-tiel	auth	2	29.8	1
prime	deep-tiel	auth	3	23.2	1
prime	deep-tiel	median	1	53.3	1
prime	deep-tiel	median	2	21.7	1
prime	deep-tiel	median	3	46.6	1
prime	deep-tiel	overlay	1	50.6	1
prime	deep-tiel	overlay	2	26.3	1
prime	deep-tiel	overlay	3	22.1	1
prime	deep-tiel	rollback	1	33.2	1
prime	deep-tiel	rollback	2	35.4	1
prime	deep-tiel	rollback	3	66.0	1
prime	deep-tiel	cache	1	35.5	1
prime	deep-tiel	cache	2	35.5	1
prime	deep-tiel	cache	3	137.1	1
prime	deep-tiel	dedupe	1	38.5	1
prime	deep-tiel	dedupe	2	41.9	1
prime	deep-tiel	dedupe	3	34.9	1
prime	deep-tiel	pipeline	1	71.2	1
prime	deep-tiel	pipeline	2	99.9	1
prime	deep-tiel	pipeline	3	71.9	1
