harness	model	task	run	sec	success
prime	fast	alias	1	14.6	1
prime	fast	alias	2	18.9	1
prime	fast	alias	3	15.7	1
prime	fast	auth	1	13.7	1
prime	fast	auth	2	13.7	1
prime	fast	auth	3	17.1	1
prime	fast	median	1	20.6	1
prime	fast	median	2	20.8	1
prime	fast	median	3	29.2	1
prime	fast	overlay	1	31.0	1
prime	fast	overlay	2	21.9	1
prime	fast	overlay	3	24.9	1
prime	fast	rollback	1	28.1	1
prime	fast	rollback	2	19.8	1
prime	fast	rollback	3	20.3	1
prime	fast	cache	1	38.0	1
prime	fast	cache	2	45.7	1
prime	fast	cache	3	30.2	1
prime	fast	dedupe	1	63.9	1
prime	fast	dedupe	2	22.9	1
prime	fast	dedupe	3	39.4	1
prime	fast	pipeline	1	32.4	1
prime	fast	pipeline	2	35.3	1
prime	fast	pipeline	3	31.7	1
