harness	model	task	run	sec	success
prime	fast	alias	1	18.3	1
prime	fast	alias	2	15.3	1
prime	fast	alias	3	16.9	1
prime	fast	auth	1	14.2	1
prime	fast	auth	2	14.7	1
prime	fast	auth	3	14.7	1
prime	fast	median	1	24.7	1
prime	fast	median	2	23.9	1
prime	fast	median	3	22.8	1
prime	fast	overlay	1	26.3	1
prime	fast	overlay	2	24.5	1
prime	fast	overlay	3	34.9	1
prime	fast	rollback	1	64.1	1
prime	fast	rollback	2	41.5	1
prime	fast	rollback	3	24.1	1
prime	fast	cache	1	54.0	1
prime	fast	cache	2	37.0	1
prime	fast	cache	3	34.5	1
prime	fast	dedupe	1	52.1	1
prime	fast	dedupe	2	25.2	1
prime	fast	dedupe	3	46.0	1
prime	fast	pipeline	1	43.1	1
prime	fast	pipeline	2	38.8	0
prime	fast	pipeline	3	53.8	1
